units,usd,cny,nzd,inr,sgd,hkd,myr,jpy,gbp,idr
2024-09-30,0.6932,4.8613,1.0887,58.07,0.8871,5.3861,2.8456,98.22,0.5177,10483
2024-10-31,0.6569,4.6774,1.0996,55.23,0.8688,5.1052,2.8759,100.45,0.5073,10315
2024-11-29,0.6517,4.7132,1.1021,55.07,0.8731,5.0726,2.8932,97.75,0.5127,10333
2024-12-31,0.6217,4.5373,1.1045,53.21,0.8456,4.8261,2.7787,97.14,0.4956,10031
2025-01-31,0.6225,4.5098,1.1029,53.94,0.8434,4.8505,2.7574,96.14,0.5012,10149
2025-02-28,0.6214,4.5278,1.1096,54.31,0.8382,4.8336,2.7739,92.97,0.4938,10300
2025-03-31,0.628,4.5548,1.1004,53.67,0.8421,4.885,2.7873,93.62,0.4847,10400
2025-04-30,0.6416,4.6613,1.0794,54.58,0.8375,4.9768,2.7659,91.43,0.4788,10686
2025-05-30,0.6436,4.6259,1.0764,54.95,0.8295,5.0463,2.7314,92.57,0.4775,10484
2025-06-30,0.655,4.6921,1.0768,55.99,0.8341,5.1416,2.7602,94.26,0.4771,10629
2025-07-31,0.6469,4.6532,1.0911,56.66,0.8376,5.078,2.7509,96.25,0.4877,10651
2025-08-29,0.6538,4.6626,1.1096,57.42,0.8391,5.0933,2.759,96.12,0.4843,10767
2025-09-30,0.6602,4.7035,1.141,58.61,0.8523,5.1363,2.7834,97.91,0.4915,11022
