Sensor_Name,Latitude,Longitude
Swa31,-37.81668634,144.9668973
SanBri_T,-37.82011242,144.962919
WestWP_T,-37.81235775,144.9713696
Swa148_T,-37.81414075,144.9660938
Que85_T,-37.81652527,144.9612106
King2_T,-37.82009057,144.9575873
King335_T,-37.81267639,144.9538644
280Will_T,-37.81246271,144.9569019
Bou231_T,-37.81333081,144.9667557
Col12_T,-37.81344862,144.9730535
KenMac_T,-37.79453803,144.9303619
Pel147_T,-37.80240719,144.9615673
Fra118_T,-37.80841815,144.9590632
LtB170_T,-37.81172914,144.9682466
FliS_T,-37.81911705,144.9655826
ElFi_T,-37.81798049,144.9650338
Swa295_T,-37.81101524,144.9642949
AlfPl_T,-37.81379749,144.9699575
HarEsB_T,-37.81471642,144.9446508
SwaCs_T,-37.81569416,144.9668064
Bourke155_T,-37.81267313,144.9678829
UM3_T,-37.79698741,144.9644131
Eli489_T,-37.80740397,144.9598791
Spencer_T,-37.821728,144.9555702
Spen161_T,-37.8172861,144.953191
FLDegN_T,-37.8168479,144.9655979
Bou292_T,-37.81349441,144.9651532
Col15_T,-37.81362543,144.9732359
NewQ_T,-37.81457988,144.942924
WatCit_T,-37.81564989,144.9397069
ACMI_T,-37.81726338,144.9687281
Col620_T,-37.81887963,144.954492
SouthB_T,-37.82018685,144.9650851
BouHbr2353_T,-37.81894815,144.9461229
Signal1647_T,-37.81959923,144.9632832
Lat526_T,-37.813005,144.9516041
474Fl_T,-37.81997273,144.9583491
WebBN_T,-37.82293543,144.9471751
HarEsP_T,-37.81441438,144.9443303
AG_T,-37.8199817,144.9687287
Spr201_T,-37.80999341,144.9722759
261Will_T,-37.81295822,144.9567879
RMIT14_T,-37.80767455,144.9630911
UM2_T,-37.79844526,144.9641178
FLDegS_T,-37.81688755,144.9656257
Lon364_T,-37.81234775,144.9615331
Bou688_T,-37.81686075,144.9535808
Eli501_T,-37.80730068,144.9595606
LtB210_T,-37.81237202,144.9655067
MCEC_T,-37.82401776,144.9560443
Hammer1584_T,-37.81970749,144.9679573
Fli114F_T,-37.81629332,144.9709088
VAC_T,-37.82129925,144.9687931
Swa607_T,-37.804024,144.963084
Lyg260_T,-37.80107122,144.9670455
Eli250_T,-37.81258467,144.9625775
Boyd2837_T,-37.82590962,144.9618597
Lat526_T,-37.81304149,144.9515596
Spen201_T,-37.81694221,144.9530394
EntPark1671_T,-37.81996544,144.9598145
BouHbr_T,-37.81876474,144.9471055
488Mac_T,-37.79432415,144.9297338
Lat224_T,-37.80996494,144.9621652
Col623_T,-37.81909256,144.9545275
Lon189_T,-37.8112185,144.9665681
Fli114C_T,-37.81632783,144.9709051
Spen475_T,-37.80953359,144.94939
QVN_T,-37.81057846,144.9644429
574Qub_T,-37.80309992,144.9490806
Vic_T,-37.80606888,144.9564469
Col254_T,-37.81564191,144.965499
Col700_T,-37.81982992,144.9510256
FLDegC_T,-37.81687226,144.9655914
SprFli_T,-37.81515276,144.9746766
PriNW_T,-37.81874249,144.9678766
Lyg309_T,-37.79808192,144.9672101
QVMQ_T,-37.80631581,144.958667
Bou892T,-37.8204637,144.9412683
LatWill_T,-37.81193681,144.9562111
Swa123_T,-37.81487988,144.9660878
UM1_T,-37.80008566,144.9638641
RMIT_T,-37.80825648,144.9630486
Errol23_T,-37.80454949,144.9492186
Spen229_T,-37.81531435,144.9522777
Bou283_T,-37.81380668,144.9651672
FliSS_T,-37.81794046,144.9661668
BirFed1120_T,-37.8184141,144.9735792
BirBridge_T,-37.81753741,144.9732973
Lyg161_T,-37.80169681,144.9665891
Errol20_T,-37.80456984,144.9494623
Eli263_T,-37.81252157,144.9619401
BirArt1109_T,-37.81851276,144.9713134
Spen484_T,-37.80896733,144.949317
BirBridge_T,-37.81757416,144.9732993
Pow61_T,-37.82392385,144.9629968
